Date	10/07/13	10/07/13	12/07/13	06/09/13	09/09/13	14/10/13	16/12/13	17/01/14
Version	2.1	2.2	2.2	2.3	2.4	2.7	2.8	2.9
Serveur	OVH	OVH	OVH	OVH	OVH	DigitalOcean	DigitalOcean	DigitalOcean
Environnement	test	test	test	test	test	test	test	test
Modules			APC		APC+cache Trads	APCu	APCu	Memcached
Données	bolloré	bolloré	bolloré	bolloré	bolloré	bolloré	bolloré	bolloré
Accueil	205	204	143	160	86	189	334	277
Login	211	211	134	190	89	184	327	279
Organisation	272	272	171	241	108	251	477	378
Simulations	400	409	302	366	161	298	547	441
Formulaires (arbre)	275	275	177	242	112	205	359	316
Formulaires (liste)	300	298	196	268	117	223	381	303
Interpreteur d'expression	267	267	172	236	104	207	351	271
Classif - Axes	294	294	194	265	119	217	375	267
Classif - Membres	329	315	214	289	144	252	507	334
Classif - Indicateurs	273	270	173	238	106	225	466	292
Classif - Contextes	270	270	171	235	104	207	413	294
Classif - ContextIndicators	311	308	208	284	126	222	493	348
Classif - Controle	261	258	167	231	103	225	417	298
Techno - Familles (arbre édition)	313	310	222	242	112	216	464	335
Techno - Familles (arbre)	255	264	164	229	97	196	424	286
Techno - Familles (liste édition)	303	303	218	279	115	245	528	278
Techno - Familles (liste)	285	285	195	266	106	207	373	276
Techno - Meanings	696	695	606	693	844	1071	1566	1863
Techno - Controle	950	914	850	897	743	1214	1873	2013
Keyword - Graphe	263	264	176	248	108	183	251	237
Keyword - Mots-clés	273	273	175	239	107	179	271	255
Keyword - Associations	1295	1287	1212	1295	1484	1631	2079	2360
Keyword - Prédicats	279	279	180	244	123	269	399	340
Unit - Unités standards	325	330	267	272	117	314	425	341
Unit - Unités étendues	256	258	220	230	97	269	366	268
Unit - Unités discrètes	256	258	165	229	96	237	363	274
Unit - Grandeurs physiques	317	312	218	268	117	260	432	312
Liste des utilisateurs	295	295	182	248	115	204	405	307
Moyenne 1	358	356	267	326	209	343	560	494
Mediane 1	285	285	194	248	112	224	415	300
